SP_800-171,count_of_SP_800_53Families
3.12.1,2
3.12.2,2
3.12.3,2
3.12.4,2
3.13.1,2
3.13.2,2
3.1.1,1
3.1.10,1
3.1.11,1
3.1.12,1
3.1.13,1
3.1.14,1
3.1.15,1
3.1.16,1
3.1.17,1
3.1.18,1
3.1.19,1
3.1.2,1
3.1.20,1
3.1.21,1
3.1.22,1
3.1.3,1
3.1.4,1
3.1.5,1
3.1.6,1
3.1.7,1
3.1.8,1
3.1.9,1
3.10.1,1
3.10.2,1
3.10.3,1
3.10.4,1
3.10.5,1
3.10.6,1
3.11.1,1
3.11.2,1
3.11.3,1
3.13.10,1
3.13.11,1
3.13.12,1
3.13.13,1
3.13.14,1
3.13.15,1
3.13.16,1
3.13.3,1
3.13.4,1
3.13.5,1
3.13.6,1
3.13.7,1
3.13.8,1
3.13.9,1
3.14.1,1
3.14.2,1
3.14.3,1
3.14.4,1
3.14.5,1
3.14.6,1
3.14.7,1
3.2.1,1
3.2.2,1
3.2.3,1
3.3.1,1
3.3.2,1
3.3.3,1
3.3.4,1
3.3.5,1
3.3.6,1
3.3.7,1
3.3.8,1
3.3.9,1
3.4.1,1
3.4.2,1
3.4.3,1
3.4.4,1
3.4.5,1
3.4.6,1
3.4.7,1
3.4.8,1
3.4.9,1
3.5.1,1
3.5.10,1
3.5.11,1
3.5.2,1
3.5.3,1
3.5.4,1
3.5.5,1
3.5.6,1
3.5.7,1
3.5.8,1
3.5.9,1
3.6.1,1
3.6.2,1
3.6.3,1
3.7.1,1
3.7.2,1
3.7.3,1
3.7.4,1
3.7.5,1
3.7.6,1
3.8.1,1
3.8.2,1
3.8.3,1
3.8.4,1
3.8.5,1
3.8.6,1
3.8.7,1
3.8.8,1
3.8.9,1
3.9.1,1
3.9.2,1
