SR_Family,names_of_SP_800_53
3.01,"AC-2-0, AC-3-0, AC-17-0, AC-4-0, AC-5-0, AC-6-0, AC-6-1, AC-6-5, AC-6-2, AC-6-9, AC-6-10, AC-7-0, AC-8-0, AC-11-0, AC-11-1, AC-12-0, AC-17-1, AC-17-2, AC-17-3, AC-17-4, AC-18-0, AC-18-1, AC-19-0, AC-19-5, AC-20-0, AC-20-1, AC-20-2, AC-22-0"
3.02,"AT-2-0, AT-3-0, AT-2-2"
3.03,"AU-2-0, AU-3-0, AU-3-1, AU-6-0, AU-11-0, AU-12-0, AU-2-3, AU-5-0, AU-6-3, AU-7-0, AU-8-0, AU-8-1, AU-9-0, AU-9-4"
3.04,"CM-2-0, CM-6-0, CM-8-0, CM-8-1, CM-3-0, CM-4-0, CM-5-0, CM-7-0, CM-7-1, CM-7-2, CM-7-4, CM-7-5, CM-11-0"
3.05,"IA-2-0, IA-3-0, IA-5-0, IA-2-1, IA-2-2, IA-2-3, IA-2-8, IA-2-9, IA-4-0, IA-5-1, IA-6-0"
3.06,"IR-2-0, IR-4-0, IR-5-0, IR-6-0, IR-7-0, IR-3-0"
3.07,"MA-2-0, MA-3-0, MA-3-1, MA-3-2, MA-4-0, MA-5-0"
3.08,"MP-2-0, MP-4-0, MP-6-0, MP-3-0, MP-5-0, MP-5-4, MP-7-0, MP-7-1, CP-9-0"
3.09,"PS-3-0, PS-4-0, PS-5-0"
3.1,"PE-2-0, PE-4-0, PE-5-0, PE-6-0, PE-3-0, PE-17-0"
3.11,"RA-3-0, RA-5-0, RA-5-5"
3.12,"CA-2-0, CA-5-0, CA-7-0, PL-2-0"
3.13,"SC-7-0, SA-8-0, SC-2-0, SC-4-0, SC-7-5, SC-7-7, SC-8-0, SC-8-1, SC-10-0, SC-12-0, SC-13-0, SC-15-0, SC-18-0, SC-19-0, SC-23-0, SC-28-0"
3.14,"SI-2-0, SI-3-0, SI-5-0, SI-4-0, SI-4-4"
