SP_800-171,names_of_SP_800_53
3.1.1,"AC-2-0, AC-3-0, AC-17-0"
3.1.10,"AC-11-0, AC-11-1"
3.1.11,AC-12-0
3.1.12,AC-17-1
3.1.13,AC-17-2
3.1.14,AC-17-3
3.1.15,AC-17-4
3.1.16,AC-18-0
3.1.17,AC-18-1
3.1.18,AC-19-0
3.1.19,AC-19-5
3.1.2,"AC-2-0, AC-3-0, AC-17-0"
3.1.20,"AC-20-0, AC-20-1"
3.1.21,AC-20-2
3.1.22,AC-22-0
3.1.3,AC-4-0
3.1.4,AC-5-0
3.1.5,"AC-6-0, AC-6-1, AC-6-5"
3.1.6,AC-6-2
3.1.7,"AC-6-9, AC-6-10"
3.1.8,AC-7-0
3.1.9,AC-8-0
3.10.1,"PE-2-0, PE-4-0, PE-5-0, PE-6-0"
3.10.2,"PE-2-0, PE-4-0, PE-5-0, PE-6-0"
3.10.3,PE-3-0
3.10.4,PE-3-0
3.10.5,PE-3-0
3.10.6,PE-17-0
3.11.1,RA-3-0
3.11.2,"RA-5-0, RA-5-5"
3.11.3,RA-5-0
3.12.1,"CA-2-0, CA-5-0, CA-7-0, PL-2-0"
3.12.2,"CA-2-0, CA-5-0, CA-7-0, PL-2-0"
3.12.3,"CA-2-0, CA-5-0, CA-7-0, PL-2-0"
3.12.4,"CA-2-0, CA-5-0, CA-7-0, PL-2-0"
3.13.1,"SC-7-0, SA-8-0"
3.13.10,SC-12-0
3.13.11,SC-13-0
3.13.12,SC-15-0
3.13.13,SC-18-0
3.13.14,SC-19-0
3.13.15,SC-23-0
3.13.16,SC-28-0
3.13.2,"SC-7-0, SA-8-0"
3.13.3,SC-2-0
3.13.4,SC-4-0
3.13.5,SC-7-0
3.13.6,SC-7-5
3.13.7,SC-7-7
3.13.8,"SC-8-0, SC-8-1"
3.13.9,SC-10-0
3.14.1,"SI-2-0, SI-3-0, SI-5-0"
3.14.2,"SI-2-0, SI-3-0, SI-5-0"
3.14.3,"SI-2-0, SI-3-0, SI-5-0"
3.14.4,SI-3-0
3.14.5,SI-3-0
3.14.6,"SI-4-0, SI-4-4"
3.14.7,SI-4-0
3.2.1,"AT-2-0, AT-3-0"
3.2.2,"AT-2-0, AT-3-0"
3.2.3,AT-2-2
3.3.1,"AU-2-0, AU-3-0, AU-3-1, AU-6-0, AU-11-0, AU-12-0"
3.3.2,"AU-2-0, AU-3-0, AU-3-1, AU-6-0, AU-11-0, AU-12-0"
3.3.3,AU-2-3
3.3.4,AU-5-0
3.3.5,AU-6-3
3.3.6,AU-7-0
3.3.7,"AU-8-0, AU-8-1"
3.3.8,AU-9-0
3.3.9,AU-9-4
3.4.1,"CM-2-0, CM-6-0, CM-8-0, CM-8-1"
3.4.2,"CM-2-0, CM-6-0, CM-8-0, CM-8-1"
3.4.3,CM-3-0
3.4.4,CM-4-0
3.4.5,CM-5-0
3.4.6,CM-7-0
3.4.7,"CM-7-1, CM-7-2"
3.4.8,CM-7-4
3.4.9,"CM-7-5, CM-11-0"
3.5.1,"IA-2-0, IA-3-0, IA-5-0"
3.5.10,IA-5-1
3.5.11,IA-6-0
3.5.2,"IA-2-0, IA-3-0, IA-5-0"
3.5.3,"IA-2-1, IA-2-2, IA-2-3"
3.5.4,"IA-2-8, IA-2-9"
3.5.5,IA-4-0
3.5.6,IA-4-0
3.5.7,IA-5-1
3.5.8,IA-5-1
3.5.9,IA-5-1
3.6.1,"IR-2-0, IR-4-0, IR-5-0, IR-6-0, IR-7-0"
3.6.2,"IR-2-0, IR-4-0, IR-5-0, IR-6-0, IR-7-0"
3.6.3,IR-3-0
3.7.1,"MA-2-0, MA-3-0, MA-3-1, MA-3-2"
3.7.2,"MA-2-0, MA-3-0, MA-3-1, MA-3-2"
3.7.3,MA-2-0
3.7.4,MA-3-2
3.7.5,MA-4-0
3.7.6,MA-5-0
3.8.1,"MP-2-0, MP-4-0, MP-6-0"
3.8.2,"MP-2-0, MP-4-0, MP-6-0"
3.8.3,"MP-2-0, MP-4-0, MP-6-0"
3.8.4,MP-3-0
3.8.5,MP-5-0
3.8.6,MP-5-4
3.8.7,MP-7-0
3.8.8,MP-7-1
3.8.9,CP-9-0
3.9.1,"PS-3-0, PS-4-0, PS-5-0"
3.9.2,"PS-3-0, PS-4-0, PS-5-0"
